1,tadâ,tidak ada
2, iyot,iya
3,a gheje',canda
4,a lakoh,kerja
5,a maen,Main  
6,aba,ayah
7,abek,awak
8,Abengkang,Telanjang    
9,aberkak,lari
10,abit,lambat
11,abuh,abu
12,aburu,berburu
13,accem,asam
14,accen,asin
15,addet,adat
16,adeb,adab
17,adel,adil
18,adet,ada
19,aeng,air
20,aeng,air
21,agellek,tertawa
22,agema,agama
23,ahlih,ahli
24,ajem,ayam
25,ajher,belajar
26,ajuh,kakak
27,akibet,akibat
28,ale,adik
29,ales,alis
30,alos,halus
31,andhik,Punya   
32,andok,handuk
33,ane,aneh
34,anga',hangat
35,angen,angin
36,angen,angin
37,anggor,anggur
38,angko,angkuh
39,anyar,baru
40,aongguk,angguk
41,apoy,api
42,arek,celurit
43,areng,arang
44,argena,harga
45,arjeng,haus
46,assyem,bersin
47,ater,antar
48,ayoh,ayo
49,baing,baling
50,bapak,ayah
51,bayem,bayam
52,bebe,bawah
53,bebeng,bawang
54,bebih,babi
55,becah,baca
56,becca,basah
57,beccek,baik
58,becik,baik
59,bedai,badai
60,bedde,bejana
61,bede',bedak
62,bedeh,ada
63,bedeh,ada
64,beden,badan
65,beden,beban
66,begian,bagian
67,bejeh,buaya
68,bejeng,bayang
69,bejer,bayar
70,bejik,bayi
71,beleng,bealang
72,beles,belas
73,beles,balas
74,belik,balik
75,benduh,banci
76,bengal,berani
77,bengsah,bangsa
78,ben'n,kamu
79,benne,bukan
80,bennyak,banyak
81,bental,bantal
82,bental,bantah
83,benteng,banting
84,berek,barat
85,berempa,berapa
86,bereng,bareng
87,bereng,benda
88,berik,kemarin
89,beris,baris
90,berkak,lari
91,berrek,berat
92,berres,beras
93,berse,bersih
94,berung,warung
95,besket,biskuit
96,betang,bangkai
97,beteh,untung
98,betes,batas
99,betoh,batuk
100,betok,batuk
101,betol,benar
102,beuh,bahu
103,bhebhek,bibi
104,bheji',bayi
105,bhila,kapan
106,bhinek,Perempuan   
107,bibik,bebek
108,bideh,bedak
109,bigih,biji
110,bileh,kapan
111,biluk,bengkok
